Chromosome	Begin	End	Orientation	Symbol
1	3940612	3952583	plus	LINC01346
1	3947149	3948980	minus	LINC01345
1	3976090	4012704	plus	LINC02780
1	4412051	4424684	plus	LINC01777
1	4432146	4443634	plus	LOC105376674
1	4552005	4556565	minus	LOC124904578
1	4571487	4583706	plus	LINC01646
1	4654609	4792534	plus	AJAP1
1	4973391	4983958	plus	LINC02781
1	4992630	4998716	minus	LOC124904589
1	4997369	5004349	plus	LOC102724429
1	5086459	5098548	minus	LINC02782
1	5131856	5135311	plus	LOC105376682
1	5422642	5428379	plus	LOC124904590
1	5470329	5481317	minus	LOC107984911
1	5490842	5494629	minus	LOC105376686
1	5680952	5681026	plus	LOC124900451
1	5704311	5713958	minus	LOC124903830
1	5862672	5862741	minus	MIR4689
1	5862811	5992425	minus	NPHP4
1	5992676	6101180	plus	KCNAB2
1	6085255	6086371	plus	LOC124903831
1	6101787	6180321	minus	CHD5
1	6185020	6199595	minus	RPL22
1	6204840	6205780	minus	RNF207-AS1
1	6206119	6221299	plus	RNF207
1	6221193	6235964	minus	ICMT
1	6236240	6239444	plus	ICMT-DT
1	6244179	6245578	plus	HES3
1	6247353	6261098	minus	GPR153
1	6264272	6393767	minus	ACOT7
1	6415232	6419919	minus	HES2
1	6424776	6461370	plus	ESPN
1	6429834	6429896	minus	MIR4252
1	6460786	6466173	minus	TNFRSF25
1	6467122	6520092	minus	PLEKHG5
1	6521347	6554513	minus	NOL9
1	6555307	6579755	plus	TAS1R1
1	6567548	6579433	minus	LOC107984912
1	6579994	6589280	plus	ZBTB48
1	6590724	6602869	minus	KLHL21
1	6603447	6613387	minus	LOC107984913
1	6613731	6624030	plus	PHF13
1	6624868	6635595	plus	THAP3
1	6634170	6701816	minus	DNAJC11
1	6724745	6730012	plus	LINC01672
1	6752723	6752821	plus	LOC124904847
1	6783892	6784980	minus	CAMTA1-DT
1	6785454	7769706	plus	CAMTA1
1	6828817	6852145	plus	LOC124903832
1	7008376	7014279	minus	CAMTA1-AS3
1	7364394	7370270	plus	CAMTA1-IT1
1	7382487	7389754	minus	CAMTA1-AS2
1	7440567	7441617	minus	CAMTA1-AS1
1	7503037	7508625	plus	LOC105376691
1	7693124	7704562	minus	LOC105376689
1	7771296	7781432	plus	VAMP3
1	7784291	7845177	plus	PER3
1	7809137	7827118	minus	LOC124903833
1	7847612	7913249	minus	UTS2
1	7915871	7940839	minus	TNFRSF9
1	7961711	7985505	plus	PARK7
1	7999127	8006733	plus	LOC124903834
1	8011727	8026309	minus	ERRFI1
1	8026493	8127070	plus	ERRFI1-DT
1	8129155	8147644	minus	LOC107984915
1	8208672	8215210	plus	LINC01714
1	8239958	8249007	plus	LOC105376695
1	8259371	8296449	plus	LOC124903835
1	8318114	8344165	plus	SLC45A1
1	8352404	8817640	minus	RERE
1	8424645	8435016	plus	RERE-AS1
1	8494800	8494913	minus	SNORD128
1	8511795	8511919	minus	LOC124900452
1	8861000	8878686	minus	ENO1
1	8866502	8866590	minus	MIR6728
1	8878835	8879885	plus	ENO1-AS1
1	8905216	8926874	minus	LOC112268261
1	8945868	8975092	plus	CA6
1	8992534	9026423	minus	SLC2A7
1	9035106	9094195	minus	SLC2A5
1	9082696	9082879	plus	LOC124900441
1	9100305	9129102	minus	GPR157
1	9148011	9182338	minus	MIR34AHG
1	9151668	9151777	minus	MIR34A
1	9182204	9192086	plus	LNCTAM34A
1	9234774	9271337	plus	H6PD
1	9241963	9242718	minus	LOC124903836
1	9292894	9369532	plus	SPSB1
1	9425094	9428996	minus	LINC02606
1	9539465	9585173	plus	SLC25A33
1	9588911	9614877	plus	TMEM201
1	9614664	9622316	plus	LOC124903837
1	9627258	9729114	plus	PIK3CD
1	9628447	9629427	minus	LOC105376712
1	9652610	9654586	minus	PIK3CD-AS1
1	9672426	9687574	minus	PIK3CD-AS2
1	9718103	9718736	minus	LOC124903839
1	9728926	9824526	minus	CLSTN1
1	9848276	9910269	minus	CTNNBIP1
1	9850665	9855492	plus	LOC105376717
1	9879947	9883698	minus	LOC124903838
1	9922118	9943391	minus	LZIC
1	9942923	9996892	plus	NMNAT1
1	9967381	9967458	plus	MIR5697
1	9996719	9998089	minus	LOC124903840
1	9997228	10016021	plus	RBP7
1	10032958	10181239	plus	UBE4B
1	10210570	10381603	plus	KIF1B
1	10399064	10420511	plus	PGD
1	10430433	10452153	plus	CENPS-CORT
1	10430433	10442808	plus	CENPS
1	10450031	10451998	plus	CORT
1	10456522	10472529	minus	DFFA
1	10474950	10630758	plus	PEX14
1	10636604	10796646	minus	CASZ1
1	10809160	10815658	minus	LOC105376733
1	10912912	10918733	minus	LOC105376735
1	10946475	10982076	minus	C1orf127
1	11012654	11030528	plus	TARDBP
1	11026523	11047239	minus	MASP2
1	11054589	11060018	minus	SRM
1	11066618	11099869	minus	EXOSC10
1	11099675	11102105	plus	EXOSC10-AS1
1	11106535	11262551	minus	MTOR
1	11143898	11149538	plus	MTOR-AS1
1	11169507	11169613	minus	LOC124904848
1	11189355	11195981	plus	ANGPTL7
1	11273198	11299574	plus	UBIAD1
1	11311876	11316302	minus	LOC105376737
1	11357945	11365055	plus	LOC105376739
1	11371689	11377536	plus	LOC105376740
1	11394935	11398213	plus	LOC124903841
1	11479155	11537551	plus	DISP3
1	11495948	11499474	minus	LOC124903842
1	11609531	11613355	plus	LINC01647
1	11648387	11654429	minus	FBXO2
1	11654407	11663327	plus	FBXO44
1	11664200	11674354	plus	FBXO6
1	11674480	11691830	minus	MAD2L2
1	11686635	11725857	plus	DRAXIN
1	11736136	11750769	plus	AGTRAP
1	11762193	11789585	plus	C1orf167
1	11777077	11779619	minus	C1orf167-AS1
1	11785723	11805964	minus	MTHFR
1	11806191	11843130	plus	CLCN6
1	11840319	11847616	plus	NPPA-AS1
1	11845709	11847783	minus	NPPA
1	11857464	11858945	minus	NPPB
1	11908154	11908272	plus	RNU5E-1
1	11911493	11913226	plus	LOC124903843
1	11919591	11926427	minus	KIAA2013
1	11934717	11975537	plus	PLOD1
1	11980444	12013508	plus	MFN2
1	12019498	12032045	plus	MIIP
1	12029158	12029222	plus	MIR6729
1	12063303	12144207	plus	TNFRSF8
1	12166943	12167038	plus	MIR7846
1	12166991	12209220	plus	TNFRSF1B
1	12176179	12180309	plus	LOC124903844
1	12191713	12191773	plus	MIR4632
1	12230030	12512047	plus	VPS13D
1	12356724	12368869	minus	LOC124903845
1	12507246	12507397	plus	SNORA59A
1	12525553	12529092	plus	LINC02766
1	12567910	12618210	minus	DHRS3
1	12578957	12579023	minus	MIR6730
1	12644085	12667076	plus	AADACL4
1	12702894	12707849	minus	LOC124903846
1	12716110	12728760	plus	AADACL3
1	12739736	12739839	plus	LOC124904811
1	12746200	12763699	plus	CFAP107
1	12773738	12777906	plus	PRAMEF12
1	12791397	12796628	plus	PRAMEF1
1	12822686	12823223	minus	LINC01784
1	12824605	12831410	minus	PRAMEF11
1	12847377	12848720	minus	HNRNPCL1
1	12857086	12861909	plus	PRAMEF2
1	12879212	12886201	minus	PRAMEF4
1	12892896	12898270	minus	PRAMEF10
1	12916610	12920751	plus	PRAMEF7
1	12938472	12947580	minus	PRAMEF6
1	13049476	13056575	minus	PRAMEF27
1	13060769	13062878	plus	HNRNPCL3
1	13070774	13077884	plus	PRAMEF25
1	13115488	13116854	minus	HNRNPCL2
1	13148907	13156009	minus	PRAMEF26
1	13163914	13165631	minus	HNRNPCL4
1	13171848	13179459	plus	PRAMEF9
1	13196188	13201409	minus	PRAMEF13
1	13222695	13226154	minus	PRAMEF18
1	13254198	13263435	plus	PRAMEF5
1	13281304	13285137	minus	PRAMEF8
1	13303539	13308907	plus	PRAMEF33
1	13315581	13322598	plus	PRAMEF15
1	13341892	13347134	minus	PRAMEF14
1	13368431	13371947	minus	PRAMEF19
1	13389632	13392629	plus	PRAMEF17
1	13410450	13421328	plus	PRAMEF20
1	13474973	13514003	minus	LRRC38
1	13487571	13492872	plus	LOC102724856
1	13513220	13516264	plus	LOC107984918
1	13583757	13617957	plus	PDPN
1	13670194	13674718	plus	LOC105378612
1	13687047	13691892	minus	LOC105376756
1	13696070	13696199	minus	LOC124900446
1	13700188	13825079	plus	PRDM2
1	13892824	15118043	plus	KAZN
1	14201945	14255662	plus	LOC107985467
1	14283514	14311343	plus	LOC124903847
1	14348955	14419973	minus	KAZN-AS1
1	14493049	14502155	plus	LOC124903850
1	14801407	14805206	minus	LOC105376759
1	14823121	14833064	minus	LOC124903848
1	14888740	14911700	minus	LOC107985469
1	14922372	14923891	minus	LOC124903849
1	15111815	15152464	minus	TMEM51-AS1
1	15152566	15220478	plus	TMEM51
1	15164192	15171624	minus	TMEM51-AS2
1	15236521	15403010	plus	FHAD1
1	15287356	15291933	minus	LOC124903853
1	15316844	15323082	minus	LOC124903852
1	15326680	15343883	minus	FHAD1-AS1
1	15334524	15340926	minus	LOC124903851
1	15402979	15412368	minus	EFHD2-AS1
1	15409888	15430339	plus	EFHD2
1	15438443	15449242	plus	CTRC
1	15456732	15472091	plus	CELA2A
1	15463515	15467505	minus	LOC105376767
1	15476104	15491395	plus	CELA2B
1	15491401	15524912	minus	CASP9
1	15526848	15571733	plus	DNAJC16
1	15542166	15542304	plus	SCARNA21B
1	15571699	15585051	minus	AGMAT
1	15588222	15603543	minus	LOC124903854
1	15617458	15669044	plus	DDI2
1	15659713	15662033	plus	RSC1A1
1	15681506	15734769	plus	PLEKHM2
1	15736258	15741392	plus	SLC25A34
1	15740051	15749890	minus	SLC25A34-AS1
1	15742499	15747982	plus	TMEM82
1	15756638	15786589	plus	FBLIM1
1	15807374	15807649	minus	UQCRHL
1	15834215	15848147	minus	SPEN-AS1
1	15847707	15940456	plus	SPEN
1	15910897	15910997	plus	LOC124904815
1	15941869	15976101	minus	ZBTB17
1	15949931	15967643	plus	LOC124903855
1	16004236	16008807	plus	SRARP
1	16014029	16019594	minus	HSPB7
1	16022036	16034050	plus	CLCNKA
1	16043782	16057326	plus	CLCNKB
1	16057769	16073651	minus	FAM131C
1	16124337	16156069	minus	EPHA2
1	16155215	16166742	plus	EPHA2-AS1
1	16197854	16212652	minus	ARHGEF19
1	16231692	16237183	minus	CPLANE2
1	16246840	16352480	minus	FBXO42
1	16367242	16398145	plus	SZRD1
1	16395677	16437842	minus	SPATA21
1	16440724	16460078	plus	NECAP2
1	16460948	16468481	plus	LINC01772
1	16514122	16514285	minus	RNU1-1
1	16520585	16520658	minus	TRN-GTT5-1
1	16533891	16535652	minus	LINC01783
1	16535279	16535350	minus	TRE-TTC4-1
1	16538986	16539663	plus	LOC124903856
1	16545939	16546009	minus	TRG-CCC1-1
1	16562423	16613564	minus	NBPF1
1	16666785	16666948	minus	RNU1-3
1	16672506	16673512	plus	LOC124903857
1	16678271	16678341	minus	TRG-CCC4-1
1	16699997	16705455	plus	LOC124903858
1	16727285	16727355	plus	TRG-CCC5-1
1	16737350	16740485	minus	LOC124903859
1	16740516	16740679	plus	RNU1-4
1	16858949	16859021	minus	MIR3675
1	16861921	16861991	plus	TRG-CCC1-2
1	16872226	16874096	plus	LINC03126
1	16872583	16872654	plus	TRE-TTC3-1
1	16888538	16889666	minus	LOC105376805
1	16889677	16889750	plus	TRN-GTT4-1
1	16895980	16896143	plus	RNU1-2
1	16914085	16972964	plus	CROCC
1	16974502	16981583	minus	MFAP2
1	16975861	16977795	plus	LOC105376806
1	16985958	17011928	minus	ATP13A2
1	17018722	17054032	minus	SDHB
1	17066761	17119451	minus	PADI2
1	17111776	17113845	plus	LOC124903861
1	17135665	17138955	plus	LOC105376808
1	17189789	17196387	plus	LINC02783
1	17205128	17246007	plus	PADI1
1	17249098	17284233	plus	PADI3
1	17277889	17277975	plus	MIR3972
1	17308197	17364004	plus	PADI4
1	17372196	17401699	plus	PADI6
1	17406760	17439677	minus	RCC2
1	17406761	17407382	plus	RCC2-AS1
1	17440136	17441543	minus	LOC124903862
1	17449763	17449863	plus	LOC124904837
1	17513435	17697875	plus	ARHGEF10L
1	17717196	17722347	plus	LINC02810
1	17755333	17827063	plus	ACTL8
1	18000470	18010489	minus	LOC105376809
1	18043754	18052375	plus	LOC105376812
1	18065657	18074412	plus	LINC01654
1	18107798	18378483	plus	IGSF21
1	18160053	18176036	minus	IGSF21-AS1
1	18262567	18263470	minus	LOC124903864
1	18289108	18298331	minus	LOC124903863
1	18385743	18389040	plus	LOC124903865
1	18480930	18485974	plus	KLHDC7A
1	18630846	18748866	plus	PAX7
1	18839599	18859660	minus	TAS1R2
1	18871430	18902555	minus	ALDH4A1
1	18883202	18883275	minus	MIR4695
1	18897071	18897148	minus	MIR1290
1	18902113	18903371	plus	LOC124903866
1	18904280	18956676	minus	IFFO2
1	18968194	19051428	minus	LOC105376815
1	19074510	19210266	minus	UBR4
1	19210386	19240704	plus	EMC1-AS1
1	19215660	19251524	minus	EMC1
1	19251805	19260128	plus	MRTO4
1	19274229	19288770	minus	AKR7A3
1	19288060	19305348	plus	LOC124903867
1	19293247	19295736	minus	LOC100506730
1	19302708	19312146	minus	AKR7A2
1	19312326	19334463	plus	SLC66A1
1	19338775	19485539	minus	CAPZB
1	19408690	19416406	plus	LOC124903868
1	19439898	19446536	plus	LOC124903869
1	19484520	19531787	plus	LOC105376819
1	19509890	19512483	minus	LOC105376818
1	19512540	19529845	minus	LOC105376817
1	19532170	19532274	minus	LOC124904816
1	19591802	19596832	minus	MICOS10-DT
1	19596979	19658452	plus	MICOS10-NBL1
1	19596979	19629820	plus	MICOS10
1	19643229	19658452	plus	NBL1
1	19664875	19680966	plus	HTR6
1	19682240	19799916	minus	TMCO4
1	19814029	19815283	minus	RNF186
1	19814409	19819502	plus	RNF186-AS1
1	19860211	19889164	minus	LOC105376823
1	19882395	19912945	plus	OTUD3
1	19920009	19923617	minus	PLA2G2E
1	19975431	19980434	minus	PLA2G2A
1	20028408	20091911	plus	PLA2G5
1	20111939	20119536	minus	PLA2G2D
1	20139323	20150381	plus	PLA2G2F
1	20154214	20160568	plus	LOC117779438
1	20163055	20186518	minus	PLA2G2C
1	20183331	20196050	plus	UBXN10
1	20197306	20202827	plus	LOC105376825
1	20210715	20213349	minus	LOC105376826
1	20243095	20244655	plus	LINC01757
1	20271604	20274507	plus	LOC105376828
1	20290875	20359518	plus	VWA5B1
1	20339509	20340787	plus	LOC124903870
1	20359801	20428794	minus	LINC01141
1	20476222	20478793	plus	LOC124903871
1	20482391	20486210	minus	CAMK2N1
1	20499448	20508151	minus	MUL1
1	20552573	20555020	plus	FAM43B
1	20589097	20618903	plus	CDA
1	20633458	20651511	plus	PINK1
1	20633679	20633788	plus	MIR6084
1	20642657	20652193	minus	PINK1-AS
1	20651777	20661369	minus	DDOST
1	20661630	20718007	minus	KIF17
1	20719731	20732703	minus	SH2D5
1	20740266	20787307	minus	HP1BP3
1	20806292	21176897	minus	EIF4G3
1	20903705	20919273	plus	LOC105376830
1	20919271	20932636	plus	LOC105376829
1	20988314	20988432	minus	MIR1256
1	21217250	21345504	minus	ECE1
1	21262083	21267251	plus	LOC124903872
1	21293290	21299869	plus	ECE1-AS1
1	21412667	21416543	minus	LOC105376832
1	21436789	21484900	plus	NBPF3
1	21508984	21578410	plus	ALPL
1	21586448	21591187	plus	LINC02596
1	21596221	21669357	minus	RAP1GAP
1	21678298	21783149	minus	USP48
1	21812265	21825225	plus	LDLRAD2
1	21822244	21937310	minus	HSPG2
1	21977022	21998642	plus	CELA3B
1	22001657	22012542	plus	CELA3A
1	22023994	22026048	minus	LINC01635
1	22025191	22031224	plus	LINC00339
1	22052709	22101360	plus	CDC42
1	22117313	22143097	minus	WNT4
1	22140953	22157385	plus	LOC105376845
1	22163343	22175759	plus	LOC105376850
1	22252565	22257967	plus	LOC107985377
1	22266239	22266300	plus	MIR4418
1	22416331	22418964	minus	LOC105376856
1	22428909	22531154	plus	ZBTB40
1	22563489	22603595	plus	EPHA8
1	22633258	22633366	minus	MIR6127
1	22636463	22639678	plus	C1QA
1	22643633	22648108	plus	C1QC
1	22653236	22661637	plus	C1QB
1	22710838	22921500	plus	EPHB2
1	22719517	22719598	plus	MIR4684
1	22863159	22863226	minus	MIR4253
1	22883513	22889560	minus	LOC124903874
1	22953043	22972866	minus	LACTBL1
1	23010834	23015852	minus	TEX46
1	23019468	23083689	plus	KDM1A
1	23044305	23044372	plus	MIR3115
1	23083642	23178122	minus	LUZP1
1	23191895	23217502	minus	HTR1D
1	23281309	23285518	minus	LINC01355
1	23304688	23344284	minus	HNRNPR
1	23359448	23369836	minus	ZNF436
1	23368971	23371839	plus	ZNF436-AS1
1	23380909	23424748	minus	TCEA3
1	23424866	23428983	plus	LOC124903875
1	23428563	23484631	minus	ASAP3
1	23505212	23531233	minus	E2F2
1	23521930	23528419	plus	LOC101928163
1	23539883	23573700	plus	LOC124903876
1	23548494	23554942	minus	LOC105376859
1	23557926	23559501	minus	ID3
1	23576436	23577707	minus	LOC107984928
1	23627334	23640568	plus	MDS2
1	23691779	23696835	plus	RPL11
1	23743471	23762059	plus	ELOA
1	23760382	23778297	minus	ELOA-AS1
1	23778418	23788232	plus	PITHD1
1	23790614	23793532	minus	LOC105376860
1	23791145	23795539	plus	LYPLA2
1	23795599	23800754	minus	GALE
1	23801885	23825429	minus	HMGCL
1	23825540	23838636	minus	LOC105376861
1	23845077	23868290	minus	FUCA1
1	23870515	23913362	minus	CNR2
1	23929070	23929147	plus	MIR378F
1	23948809	23958114	minus	LOC124903877
1	23959164	23963462	plus	PNRC2
1	23964347	23980327	minus	SRSF10
1	23987408	23987788	minus	LOC105378615
1	24010517	24028975	plus	LOC105376863
1	24042274	24064129	plus	LOC107984931
1	24056041	24112135	minus	MYOM3
1	24066762	24083355	plus	MYOM3-AS1
1	24096046	24097974	plus	LOC124903878
1	24098706	24103931	plus	LOC105376864
1	24119771	24143140	minus	IL22RA1
1	24151434	24160458	plus	LOC124903879
1	24154168	24187289	minus	IFNLR1
1	24200240	24211690	plus	LINC02800
1	24305928	24321991	minus	GRHL3-AS1
1	24319357	24364482	plus	GRHL3
1	24356999	24415044	minus	STPG1
1	24413524	24472983	plus	NIPAL3
1	24496254	24502382	minus	RCAN3AS
1	24502344	24541040	plus	RCAN3
1	24539274	24556024	minus	NCMAP-DT
1	24556087	24609328	plus	NCMAP
1	24643302	24673281	plus	SRRM1
1	24666983	24667087	minus	LOC124904829
1	24745447	24844321	plus	CLIC4
1	24857082	24865738	plus	LOC105376876
1	24899511	24965138	minus	RUNX3
1	24919345	24919416	minus	MIR6731
1	24930457	24964708	plus	RUNX3-AS1
1	25023503	25023586	plus	MIR4425
1	25041167	25048867	plus	LINC02793
1	25131164	25132919	minus	LOC124903880
1	25222276	25232502	minus	SYF2
1	25232589	25240273	plus	LOC124903881
1	25242249	25338254	minus	RSRP1
1	25269459	25274624	minus	LOC105376882
1	25272486	25330445	plus	RHD
1	25338334	25362361	plus	TMEM50A
1	25346274	25346377	minus	LOC124904823
1	25362249	25430203	minus	RHCE
1	25430897	25500209	plus	MACO1
1	25543606	25590400	plus	LDLRAP1
1	25616791	25784450	plus	MAN1C1
1	25800193	25818221	plus	SELENON
1	25819954	25832938	plus	MTFR1L
1	25819954	25823606	minus	LOC646471
1	25831906	25859457	minus	AUNIP
1	25861484	25875708	minus	PAQR7
1	25884179	25906880	minus	STMN1
1	25906362	25906454	minus	MIR3917
1	25906550	25908243	plus	LOC105376885
1	25959767	25998063	minus	PAFAH2
1	26006216	26006299	plus	LOC124900433
1	26021775	26036464	plus	EXTL1
1	26037252	26046118	minus	SLC30A2
1	26048258	26050654	plus	LOC105376910
1	26051301	26067630	minus	TRIM63
1	26111162	26125555	plus	PDIK1L
1	26159079	26163962	plus	FAM110D
1	26164101	26168963	minus	C1orf232
1	26169521	26171832	minus	ZNF593OS
1	26169908	26170873	plus	ZNF593
1	26177491	26189884	plus	CNKSR1
1	26190602	26202964	plus	CATSPER4
1	26224599	26225297	minus	LOC124903882
1	26225320	26229840	plus	ZPLD2P
1	26234200	26278808	plus	CEP85
1	26280086	26281522	plus	SH3BGRL3
1	26282282	26318355	minus	UBXN11
1	26317958	26320523	plus	CD52
1	26321865	26354130	minus	CRYBG2
1	26361634	26374518	minus	ZNF683
1	26410817	26429728	plus	LIN28A
1	26430755	26432237	minus	LOC124903883
1	26432321	26471306	plus	DHDDS
1	26462756	26467537	minus	DHDDS-AS1
1	26472440	26476642	plus	HMGN2
1	26529120	26531398	minus	LOC124903884
1	26529761	26575025	plus	RPS6KA1
1	26554542	26554593	plus	MIR1976
1	26602369	26602432	minus	LOC124904769
1	26642286	26642389	minus	LOC124904813
1	26689182	26690812	plus	LOC105376888
1	26691908	26696405	minus	LOC124900417
1	26691910	26694131	minus	LOC101928728
1	26696015	26782104	plus	ARID1A
1	26787054	26800659	plus	PIGV
1	26826688	26857604	plus	ZDHHC18
1	26863149	26864456	plus	SFN
1	26876132	26890283	minus	GPN2
1	26890488	26900467	minus	GPATCH3
1	26900161	26946871	plus	NUDC
1	26911489	26913975	minus	NR0B2
1	26949562	26960468	minus	KDF1
1	26985757	26986343	minus	OSTCP2
1	26993692	27000886	plus	TRNP1
1	27005020	27012850	minus	TENT5B
1	27031758	27065585	plus	LOC101928391
1	27098809	27155125	minus	SLC9A1
1	27157561	27160468	plus	LOC102723760
1	27229631	27234429	minus	WDTC1-DT
1	27234441	27308636	plus	WDTC1
